203
1	20	480	1	3	97			
2	10	450	0	1				
3	30	450	0	5				
4	10	410	0	2				
5	30	410	0	7				
6	10	360	0	4				
7	30	360	0	8				
8	20	330	1	6	10	99		
9	10	300	0	8				
10	30	300	0	12	188			
11	10	230	0	9				
12	30	230	0	14	187			
13	10	170	0	11				
14	30	170	0	16	186			
15	10	110	0	13				
16	30	110	0	18	185			
17	10	50	0	15				
18	30	50	0	19	184			
19	20	20	1	17	21			
20	50	10	0	19				
21	50	30	0	23				
22	110	10	0	20				
23	110	30	0	25				
24	180	10	0	22				
25	180	30	0	26				
26	220	20	1	28	24	124		
27	250	10	0	26				
28	250	30	0	30	193			
29	320	10	0	27				
30	320	30	0	32	194			
31	380	10	0	29				
32	380	30	0	33	195			
33	420	20	1	31	37	34		
34	410	50	0	156				
35	430	50	0	33				
36	450	10	0	33				
37	450	30	0	39				
38	510	10	0	36				
39	510	30	0	41				
40	560	10	0	38				
41	560	30	0	43				
42	620	10	0	40				
43	620	30	0	45				
44	680	10	0	42				
45	680	30	0	47				
46	750	10	0	44				
47	750	30	0	48				
48	775	20	1	49	46			
49	770	50	0	51				
50	790	50	0	48				
51	770	100	0	53				
52	790	100	0	50				
53	770	155	0	55				
54	790	155	0	52				
55	780	180	1	56	154	54		
56	770	210	0	58				
57	790	210	0	55				
58	770	260	0	60				
59	790	260	0	57				
60	770	305	0	62				
61	790	305	0	59				
62	780	330	1	63	61	0		
63	770	360	0	65				
64	790	360	0	62				
65	770	410	0	68				
66	0	500	0					
67	790	410	0	64				
68	770	455	0	70				
69	790	455	0	67				
70	780	480	1	71	69			
71	750	470	0	73				
72	750	490	0	70				
73	700	470	0	75	201			
74	700	490	0	72				
75	650	470	0	77				
76	650	490	0	74				
77	620	480	1	179	78	76		
78	590	470	0	80				
79	590	490	0	77				
80	520	470	0	82				
81	520	490	0	79				
82	450	470	0	84				
83	450	490	0	81				
84	420	480	1	85	117	83		
85	390	470	0	87				
86	390	490	0	84				
87	320	470	0	89				
88	320	490	0	86				
89	250	470	0	91				
90	250	490	0	88				
91	220	480	1	123	92	90		
92	190	470	0	94				
93	190	490	0	91				
94	120	470	0	96				
95	120	490	0	93				
96	50	470	0	1				
97	50	490	0	95				
98	50	320	0	8				
99	50	340	0	101				
100	110	320	0	98				
101	110	340	0	103				
102	190	320	0	100				
103	190	340	0	104				
104	220	330	1	106	118	136	102	
105	250	320	0	104				
106	250	340	0	108				
107	320	320	1	105	202			
108	320	340	0	110				
109	390	320	0	107				
110	390	340	0	111				
111	420	330	1	112	165	109		
112	410	360	0	114				
113	430	360	0	111				
114	410	410	0	116				
115	430	410	0	113				
116	410	455	0	84				
117	430	455	0	115				
118	210	360	0	120				
119	230	360	0	104				
120	210	410	0	122				
121	230	410	0	119				
122	210	455	0	91				
123	230	455	0	121				
124	210	50	0	126	189			
125	230	50	0	26				
126	210	100	0	128	190			
127	230	100	0	125				
128	210	150	0	130				
129	230	150	0	127				
130	220	180	1	138	131	129		
131	210	210	0	133	191			
132	230	210	0	130				
133	210	260	0	135	192			
134	230	260	0	132				
135	210	305	0	104				
136	230	305	0	134				
137	250	170	0	130	196			
138	250	190	0	140				
139	320	170	0	137	197			
140	320	190	0	142				
141	380	170	0	139	198			
142	380	190	0	143				
143	420	180	1	145	141	160	159	
144	450	170	0	143				
145	450	190	0	147				
146	520	170	0	144				
147	520	190	0	149				
148	590	170	0	146				
149	590	190	0	166				
150	650	170	0	166	199			
151	650	190	0	153				
152	700	170	0	150				
153	700	190	0	155				
154	750	170	0	152				
155	750	190	0	55				
156	410	100	0	158				
157	430	100	0	35				
158	410	150	0	143				
159	430	150	0	157				
160	410	210	0	162				
161	430	210	0	143				
162	410	260	0	164				
163	430	260	0	161				
164	410	305	0	111				
165	430	305	0	163				
166	620	180	1	151	148	167		
167	610	210	0	169				
168	630	210	0	166				
169	610	260	0	171				
170	630	260	0	168				
171	610	305	0	173				
172	630	305	0	170				
173	620	330	1	174	181	172		
174	610	360	0	176				
175	630	360	0	173				
176	610	410	0	178				
177	630	410	0	175				
178	610	455	0	77				
179	630	455	0	177				
180	650	320	0	173				
181	650	340	0	183				
182	700	320	0	180				
183	700	340	0	66	200			
0	750	320	0	182				
66	750	340	0	62				
184	45	40	0					
185	45	95	0					
186	45	150	0					
187	45	205	0					
188	45	260	0					
189	120	40	0					
190	120	95	0					
191	120	190	0					
192	120	240	0					
193	245	50	0					
194	295	50	0					
195	350	50	0					
196	245	125	0					
197	295	125	0					
198	350	125	0					
199	640	115	0					
200	690	360	0					
201	690	420	0					
202	320	280	0	107				
